,Bull_Market,Bear_Market,Sideways,Crisis
2015-01-31,0.24283679590897145,2.148677147814432e-05,0.7099175797776494,0.047224137541900975
2015-02-28,0.32425558733381765,2.3150542349618507e-05,0.671989073096504,0.003732189027328689
2015-03-31,0.7770071846874281,0.22265259134934803,0.00021767020132753775,0.00012255376189625265
2015-04-30,0.05333932890744702,0.0012818935999930265,0.9453787229967192,5.4495840722740136e-08
2015-05-31,0.28906452544633116,8.619234563440283e-05,0.7103343873626887,0.0005148948453456812
2015-06-30,0.3105584021926473,0.044008067835228676,0.20503435983535076,0.4403991701367732
2015-07-31,0.0006618962492160645,0.0010450251104812051,0.998291195220163,1.8834201397200665e-06
2015-08-31,0.9865889845540942,8.67955852708635e-06,8.914896123636407e-05,0.013313186926142315
2015-09-30,0.026675897993578494,1.8570918943806619e-09,0.9732618387181688,6.226143116084667e-05
2015-10-31,0.9879607623968223,0.0021909624030730795,0.008937331703654938,0.0009109434964495845
2015-11-30,0.5846632997082921,3.9119132549860766e-05,0.014082744440359188,0.40121483671879876
2015-12-31,0.9340761543243123,1.2602621870215373e-06,0.06592257149120323,1.3922297455604369e-08
2016-01-31,0.7903290916101828,0.01701516932657228,0.1926557390625382,7.067127497166779e-13
2016-02-29,0.9936409558951953,5.030613577779008e-07,0.006358521521559809,1.952188726890627e-08
2016-03-31,0.38386352759956377,0.0002428767309805798,0.6158931900218663,4.0564758926934057e-07
2016-04-30,0.0008174720358971492,0.14441775636512888,0.8547647704540052,1.1449688590596722e-09
2016-05-31,0.741847724023865,0.2536497781341848,0.004499054989724457,3.442852225799379e-06
2016-06-30,0.13601671970333676,0.17350726581315412,0.6904760092971126,5.186396475630544e-09
2016-07-31,0.5789199825195646,0.40953406734289,0.011545947598757727,2.5387877581465364e-09
2016-08-31,0.07304423087364303,0.601278035067298,0.32567773397679434,8.226437850356283e-11
2016-09-30,0.19464064191916433,0.5582847972386191,0.2470745575013976,3.3408188399391036e-09
2016-10-31,0.5486597573030654,0.45083642926649664,0.0005036883240500046,1.251063878336148e-07
2016-11-30,0.7542886489848183,0.16914566067587458,0.07617497359190585,0.0003907167474013021
2016-12-31,0.3443498543984206,0.00848765828494155,0.6471624871029334,2.1370425777475434e-10
2017-01-31,0.028611173339928037,0.06978861044818588,0.9014890227564373,0.00011119345544866974
2017-02-28,0.27745191787822626,0.18659790277100807,0.4937527706320015,0.042197408718764304
2017-03-31,0.2385839532386905,0.011288290782218146,0.26559982831519446,0.4845279276638968
2017-04-30,0.09447784551619184,7.387015920754562e-08,0.4434858703124725,0.46203621030117664
2017-05-31,0.717995577020708,0.0012697740761773498,0.2807346486016177,3.014970032711026e-10
2017-06-30,0.2550379563294283,0.08657741918683005,0.6583793640177302,5.260466011518198e-06
2017-07-31,0.1395172356347451,0.7363878387683673,4.625177641212807e-06,0.12409030041924637
2017-08-31,0.49677753779056255,0.32388248815437565,0.17933997401439958,4.066224181314294e-11
2017-09-30,4.506452080362009e-05,0.0065263816348311325,0.04609006843605703,0.9473384854083083
2017-10-31,0.3552790161492361,0.640217755911521,0.00020104839088038207,0.004302179548362405
2017-11-30,0.9822852333888406,1.0056921860686778e-06,0.00036197325519178917,0.017351787663781447
2017-12-31,0.8988450176418704,0.027622519492136385,0.01616430032157542,0.05736816254441763
2018-01-31,0.8398435901341247,0.05151439930276683,0.10864165486290234,3.5570020628597785e-07
2018-02-28,0.0016424705427106072,0.012917754627843711,0.9612334886891228,0.024206286140322834
2018-03-31,0.024254820874539288,0.017499263145042885,0.0010593769293779725,0.9571865390510398
2018-04-30,0.6412713870661416,0.3378750132214958,0.020853599712362576,1.0175023878725061e-22
2018-05-31,0.04072718516422139,2.6672858486683073e-05,0.9569721296862008,0.0022740122910911795
2018-06-30,0.9990535159151896,2.5617137770568222e-06,0.00036552410859518253,0.0005783982624382205
2018-07-31,0.2807324382811658,0.0025675252206578225,0.0923472971263007,0.6243527393718757
2018-08-31,0.4186356468915706,0.5562111351500684,0.015799084909415638,0.00935413304894529
2018-09-30,0.053899298431329276,0.24023528752937653,0.01065623034816824,0.695209183691126
2018-10-31,0.0011836888152724867,0.8166590346859282,0.17862173540829362,0.0035355410905057133
2018-11-30,0.21071686349562688,0.05594073124199385,0.7321203657557781,0.001222039506601191
2018-12-31,0.004635605720008825,0.6989373543164459,0.28934614426985766,0.00708089569368762
2019-01-31,0.4498414662595491,0.20549902109150783,0.34465012850368487,9.384145258117751e-06
2019-02-28,0.07309476612426315,0.20825219521864072,0.7186470735034708,5.965153625274901e-06
2019-03-31,0.2826888860311607,0.5890047958580096,0.1275694377251178,0.0007368803857119772
2019-04-30,0.8497979709104102,5.668988946607281e-05,0.15013178953459627,1.3549665527327106e-05
2019-05-31,0.34843674609420616,0.46182533060259334,0.11233406332857981,0.07740385997462064
2019-06-30,0.9558926620768556,0.04405826346778673,4.9016501911319235e-05,5.795344620017506e-08
2019-07-31,0.9951062821047965,0.0035407570796059285,0.00133668267985352,1.627813574413138e-05
2019-08-31,0.13133285050608964,0.8482609871918206,0.0193994464739222,0.0010067158281674721
2019-09-30,0.4148876483027424,0.46689229784276554,0.11821755160108283,2.5022534093790862e-06
2019-10-31,0.005341810746056585,0.009650409081975234,0.9559330563015419,0.02907472387042623
2019-11-30,0.3505875145489752,0.07452853757328746,0.5522493401844416,0.02263460769329569
2019-12-31,0.11379519941825832,0.00044712807018909784,0.8843975946652162,0.0013600778463364294
2020-01-31,0.009190607786599003,4.5132175849592714e-05,0.020332706182374916,0.9704315538551765
2020-02-29,0.4244750735296118,0.07695331291496858,0.4985610202122957,1.059334312404418e-05
2020-03-31,0.22076611015990216,0.013169460121455742,0.06038269495581064,0.7056817347628315
2020-04-30,0.7566004646486458,0.055323255368777385,0.004203989027629762,0.18387229095494698
2020-05-31,0.9246861282773359,9.142598000307305e-07,0.06633876486204662,0.008974192600817624
2020-06-30,0.00017707654059611754,0.5391726230881845,0.06292372628253486,0.3977265740886846
2020-07-31,0.06964864335890886,1.869387538831386e-10,0.9303345165700817,1.6839884070638212e-05
2020-08-31,0.4331066741471895,0.20273027178307038,0.20748420658022015,0.15667884748952
2020-09-30,0.04462057307409587,5.3899131628839596e-05,0.9548162983589219,0.0005092294353535205
2020-10-31,0.8679961437172954,2.2712531154307277e-06,0.13200158502132506,8.264191023554732e-12
2020-11-30,0.9353549831176826,4.2783530070596606e-07,0.06464397429292981,6.147540868969716e-07
2020-12-31,0.9562102272110532,0.01418722690334039,0.029602093286752895,4.5259885353441245e-07
2021-01-31,0.4193125615388141,0.0001536452147434623,0.5544501492391967,0.02608364400724562
2021-02-28,0.0022855207770094426,0.0013724726036083172,0.9919529578861696,0.004389048733212749
2021-03-31,0.2264490916403192,0.04322121162484675,0.44329919621538694,0.28703050051944706
2021-04-30,0.9460319735034666,7.66118824765711e-20,6.407105676104544e-05,0.05390395543977241
2021-05-31,0.9759791706658711,0.0009777073885130136,0.023003846678908375,3.9275266707516606e-05
2021-06-30,0.7177899924562504,0.2347033731956634,0.04746171886944416,4.491547864199046e-05
2021-07-31,0.009560150923878769,0.11783671916596399,0.8726031299101572,1.0036539659162936e-23
2021-08-31,0.1005458651912729,0.4488562121575597,0.45059671277929264,1.2098718748721306e-06
2021-09-30,0.221814808974575,8.845372917756538e-08,0.7781067104203042,7.839215139160301e-05
2021-10-31,0.0333224084324175,0.011558259726665094,0.7192624457619798,0.23585688607893743
2021-11-30,0.36247433165524273,0.4115988211205907,0.10549734403985483,0.12042950318431178
2021-12-31,0.014006042284806513,0.44639625848000025,0.47044060105057595,0.06915709818461731
2022-01-31,0.9944227161737413,0.0050727409042566046,0.0005031238349953739,1.4190870067665449e-06
2022-02-28,0.004220212882610083,0.7045378839363431,0.1548446680717559,0.13639723510929108
2022-03-31,0.07269364565217956,3.4062947254305136e-11,0.9200911021210488,0.007215252192708564
2022-04-30,0.846891954602113,0.0522043724063357,0.0013438256236043777,0.09955984736794678
2022-05-31,0.011156011463771019,3.7098853719654743e-09,0.9887858190220011,5.816580434253592e-05
2022-06-30,5.252310040534755e-08,0.08796459878443298,0.8467758706475386,0.06525947804492808
2022-07-31,0.6102387042298779,7.471960249173357e-06,0.057426085024401316,0.3323277387854715
2022-08-31,0.0006130907905822031,0.9727462326682933,0.026640613339069728,6.32020548682814e-08
2022-09-30,0.3302841591182863,0.06971277910618807,0.5999193620412054,8.369973432017522e-05
2022-10-31,0.03320394912124815,0.8585795081441802,0.07782335766153899,0.0303931850730327
2022-11-30,0.7238041162624821,9.942336496607527e-05,0.27384505085487193,0.0022514095176799985
2022-12-31,0.0033605295783851606,0.7170849463060428,0.27955452411551646,5.566742956980212e-14
2023-01-31,0.029621985865123282,6.971600341858963e-08,0.9243651899500933,0.04601275446877999
2023-02-28,0.8816423967082956,0.06432707277948972,0.05394107381510051,8.94566971141845e-05
2023-03-31,0.000667862253150271,0.14468526538967041,0.8539592114445497,0.0006876609126296752
2023-04-30,0.9174422971676456,0.039551626946662546,0.015229195405559807,0.0277768804801322
2023-05-31,0.14015630322381104,3.522102322274264e-11,0.8536818520952807,0.006161844645687197
2023-06-30,0.36611192426078537,0.0903368963428226,0.5435511759894311,3.406961036540963e-09
2023-07-31,0.11949313400757913,0.30551106102330405,0.05297354294784788,0.522022262021269
2023-08-31,0.4549144886185531,0.10266918466208634,0.4424162068923461,1.1982701444823713e-07
2023-09-30,0.013596977267437173,0.0021604689443739506,6.345490256372243e-05,0.9841790988856252
2023-10-31,0.9512343003461606,0.006113553761873606,0.042650898713659235,1.2471783065340392e-06
2023-11-30,0.5447917280260581,0.26979474186149377,0.18504173017039016,0.0003717999420577167
2023-12-31,0.9748067757072206,0.005863334350402216,0.0020756497940561734,0.017254240148321043
2024-01-31,0.6340355909657288,0.0033411285894762895,0.36262327515054327,5.294251649973153e-09
2024-02-29,0.9345000631548626,0.0608873667513462,0.00461257009379127,1.9906253853997845e-49
2024-03-31,0.12652760926012302,0.0016101311525424371,0.8718614607499087,7.988374259752775e-07
2024-04-30,0.7576109078793357,0.019304185048409923,0.033893197709625456,0.18919170936262888
2024-05-31,0.10082845708707856,0.411312801504122,0.48164241759498166,0.00621632381381777
2024-06-30,0.0012210962856660545,0.12717466715236941,0.3281630945568899,0.5434411420050745
2024-07-31,0.24621221075716573,0.015574772897768995,0.7378928125830558,0.00032020376200934757
2024-08-31,0.34607044800287945,0.07584850325210105,0.560797805122173,0.01728324362284663
2024-09-30,0.14123654475172714,0.001018914492984361,0.09434929096373638,0.763395249791552
2024-10-31,0.2461389007852471,0.6887229924176973,0.019980899612416662,0.04515720718463887
2024-11-30,0.7739631763830721,0.1463676680303119,0.05398859078721885,0.025680564799397017
2024-12-31,0.3985671338614387,6.649716068798026e-07,0.6014321393094882,6.185746631385259e-08
